PULocationID,Total_Crimes
76,10810
74,8896
61,8484
130,8000
42,7164
168,6979
35,6622
129,6166
82,5980
159,5950
37,5568
225,5550
92,5523
247,5416
244,5236
89,5229
69,5229
75,5208
169,5171
213,5017
17,4975
254,4900
126,4681
167,4643
41,4620
7,4601
188,4523
216,4498
18,4447
39,4362
78,4277
55,4162
36,4128
177,3972
47,3947
230,3843
91,3818
72,3769
243,3761
116,3729
206,3728
235,3709
48,3671
14,3670
186,3627
228,3605
197,3525
22,3518
65,3471
232,3434
77,3353
68,3347
181,3265
79,3165
231,3100
173,3098
227,3061
119,3036
86,3027
191,2998
221,2976
226,2950
95,2945
60,2928
198,2919
63,2908
117,2875
147,2874
212,2838
215,2837
205,2817
71,2779
100,2772
10,2732
234,2725
259,2715
208,2680
97,2622
174,2611
148,2569
20,2567
32,2513
80,2513
249,2507
241,2502
127,2482
145,2444
248,2407
258,2400
156,2395
220,2380
94,2377
62,2375
81,2344
26,2320
242,2314
21,2287
51,2278
238,2228
25,2224
85,2223
164,2181
155,2177
260,2175
161,2111
49,2108
218,2092
56,2083
107,2083
152,2062
136,2055
151,2051
210,2045
112,2043
166,2032
144,1994
236,1974
223,1970
185,1913
256,1885
170,1849
87,1843
142,1778
141,1773
250,1740
121,1736
4,1678
16,1677
255,1676
90,1661
113,1658
114,1636
3,1621
263,1592
187,1590
211,1567
28,1551
182,1537
163,1528
162,1503
123,1498
196,1478
29,1466
23,1453
219,1417
135,1406
239,1399
165,1391
149,1386
137,1359
108,1352
45,1342
83,1337
171,1329
193,1311
237,1309
252,1292
195,1281
139,1267
67,1255
180,1250
203,1226
172,1222
118,1214
179,1203
115,1181
50,1178
53,1169
160,1167
70,1161
157,1147
102,1138
131,1130
11,1120
143,1095
201,1090
146,1087
246,1084
153,1067
124,1053
44,1045
122,1039
261,1011
133,995
245,989
33,983
214,978
6,977
109,974
38,965
192,940
262,924
189,913
251,890
200,879
19,878
98,876
84,861
229,855
217,854
134,854
158,842
66,781
183,773
175,750
40,727
93,722
43,720
73,716
233,715
64,684
140,683
176,682
9,681
106,652
240,647
101,619
31,612
222,562
150,560
24,556
99,531
178,510
194,509
5,505
204,492
15,478
224,470
13,464
88,439
257,427
209,390
190,347
59,313
58,285
125,278
184,250
96,237
120,236
57,226
52,212
202,189
34,164
154,137
54,133
46,130
253,125
30,116
128,82
138,66
132,61
111,55
8,53
12,53
27,46
207,39
110,6
105,6
199,5
2,3
