PULocationID,Total_Felonies
76,3751
61,2922
74,2743
168,2572
130,2555
42,2433
35,2159
159,2068
37,2019
129,2017
69,1900
244,1886
92,1840
82,1824
254,1815
225,1813
247,1801
126,1744
89,1693
36,1688
213,1591
216,1574
169,1565
17,1552
167,1482
41,1482
75,1467
78,1441
48,1430
55,1410
188,1408
18,1375
39,1365
47,1331
7,1288
177,1271
72,1256
230,1231
68,1230
79,1195
243,1185
173,1171
235,1155
77,1153
227,1149
186,1147
100,1144
63,1118
116,1101
198,1090
259,1075
228,1071
212,1069
148,1054
197,1048
206,1046
181,1046
147,1042
91,1033
22,1015
164,1010
161,1010
80,1006
119,990
226,989
215,985
60,978
232,949
249,943
14,932
174,928
234,917
117,908
71,902
248,901
20,892
221,892
191,882
241,881
81,874
86,870
208,864
231,857
127,856
205,841
95,828
32,827
65,825
10,825
97,819
51,814
210,806
258,806
25,795
136,791
220,788
112,780
56,773
242,771
94,763
260,762
85,761
250,759
166,746
16,743
256,739
26,736
155,728
185,725
21,719
255,712
145,704
152,699
223,693
238,688
62,682
114,665
3,660
236,659
49,656
156,637
211,632
90,632
237,625
170,621
142,615
113,613
171,604
144,594
29,590
163,579
218,572
141,564
28,561
107,560
263,556
239,553
151,547
182,534
123,526
121,520
149,510
83,509
4,504
157,492
108,478
252,474
165,466
135,461
195,458
219,447
180,440
45,438
160,437
102,437
53,436
67,435
246,434
193,413
162,413
124,412
131,412
143,405
122,393
196,389
203,389
70,388
139,388
192,387
137,385
229,382
200,381
23,376
187,372
87,367
179,359
11,351
158,346
146,344
189,344
133,343
175,337
118,333
19,333
245,328
73,322
33,321
172,321
93,317
262,314
50,311
115,306
98,299
201,299
134,294
217,291
9,289
214,287
66,278
109,278
64,277
44,275
233,273
251,273
240,266
183,261
261,258
140,257
84,250
38,249
6,241
150,241
43,239
106,227
31,227
24,217
15,212
153,208
222,206
40,204
194,192
101,190
178,186
224,181
176,174
13,167
257,143
204,136
5,134
59,130
190,118
209,110
125,108
120,104
184,102
58,102
57,93
88,93
52,90
96,84
99,83
202,60
34,53
253,49
154,48
54,48
46,37
128,34
30,33
138,22
207,20
27,19
8,19
12,18
111,16
132,14
199,2
2,2
105,1
